Date,Open,High,Low,Close,Adj Close,Volume
2019-03-18,98.300003,99.769997,98.260002,99.660004,98.207298,5770100
2019-03-19,99.989998,100.489998,99.570000,99.849998,98.394531,5414400
2019-03-20,99.199997,99.550003,98.540001,98.639999,97.202164,6323100
2019-03-21,98.250000,99.129997,98.099998,99.059998,97.616035,6551000
2019-03-22,98.580002,99.529999,97.940002,98.279999,96.847412,6708100
2019-03-25,97.800003,98.620003,97.629997,98.169998,96.739014,5407400
2019-03-26,98.360001,98.849998,98.029999,98.320000,96.886818,4945900
2019-03-27,98.139999,98.860001,95.000000,97.209999,95.793007,8471200
2019-03-28,97.589996,97.870003,96.529999,97.129997,95.714172,8054300
2019-03-29,97.589996,97.669998,97.040001,97.529999,96.108345,7439900
2019-04-01,97.970001,98.360001,97.559998,97.820000,96.394112,8505800
2019-04-02,97.760002,98.309998,96.900002,96.940002,95.526947,6274000
2019-04-03,97.120003,97.400002,96.790001,97.190002,95.773308,5687500
2019-04-04,97.250000,98.279999,97.239998,98.110001,96.679886,4026300
2019-04-05,98.250000,99.199997,98.160004,98.830002,97.389397,4656000
2019-04-08,98.449997,99.250000,98.260002,99.230003,97.783569,5422400
2019-04-09,98.800003,99.230003,98.150002,98.690002,97.251434,4367500
2019-04-10,98.510002,99.720001,98.500000,99.599998,98.148170,4091100
2019-04-11,99.699997,100.830002,99.470001,100.800003,99.330688,5606900
2019-04-12,101.000000,102.019997,101.000000,101.559998,100.079590,5162000
2019-04-15,101.300003,102.910004,101.260002,102.430000,100.936920,5111900
2019-04-16,102.889999,103.389999,102.540001,102.930000,101.429626,4828400
2019-04-17,103.000000,103.400002,102.410004,103.160004,101.656281,3729200
2019-04-18,103.110001,103.800003,102.889999,103.180000,101.675987,3727800
2019-04-22,102.779999,103.540001,102.169998,102.370003,100.877792,5079400
2019-04-23,102.529999,103.290001,101.940002,103.070000,101.567581,5050800
2019-04-24,103.139999,103.849998,103.089996,103.529999,102.020882,4697800
2019-04-25,103.239998,104.150002,102.830002,103.519997,102.011024,3961100
2019-04-26,100.449997,102.339996,99.660004,101.529999,100.050041,8107700
2019-04-29,101.879997,102.000000,100.779999,101.559998,100.079590,6379700
2019-04-30,101.769997,102.919998,101.449997,102.839996,101.340942,6133600
